Name,Start,End,Number of Tracks,Length,Electrified,Min Curvature,Speed Limit Track,Speed Limit,Speed Limit Double Tilt,Speed Limit Tilt,Speed Curve,Speed Curve Double Tilt,Speed Curve Tilt
Illawara,Wilsons Creek Bend,Helensburgh Station West,2,570,Yes,200,200,50,65,70,50,65,70
Helensburgh Station,Helensburgh Station West,Helensburgh Station East,2,160,Yes,200,200,50,65,70,50,65,70
Illawara,Helensburgh Station East,Helensburgh Bend,2,490,Yes,200,200,50,65,70,50,65,70
Illawara,Helensburgh Bend,Helensburgh Straight,2,430,Yes,400,200,75,95,100,75,95,100
Illawara,Helensburgh Straight,Helensburgh Curve,2,380,Yes,0,200,200,200,200,200,200,200
Illawara,Helensburgh Curve,Hacking River Curves,2,470,Yes,300,200,65,80,85,65,80,85
Illawara,Hacking River Curves,Hacking River Curve,2,500,Yes,400,200,75,95,100,75,95,100
Illawara,Hacking River Curve,Camp Gully Colliery,2,330,Yes,700,200,100,125,135,100,125,135
Illawara,Camp Gully Colliery,Camp Gully Tunnel,2,570,Yes,300,200,65,80,85,65,80,85
Illawara,Camp Gully Tunnel,Camp Gully Bends,2,340,Yes,0,200,200,200,200,200,200,200
Illawara,Camp Gully Bends,Cedar Gully,2,590,Yes,200,200,50,65,70,50,65,70
Illawara,Cedar Gully,Hamiltons Gully,2,580,Yes,800,200,110,135,145,110,135,145
Illawara,Hamiltons Gully,Lady Carrington Bend,2,720,Yes,400,200,75,95,100,75,95,100
Illawara,Lady Carrington Bend,Otford Station North,2,720,Yes,200,200,50,65,70,50,65,70
Otford Station,Otford Station North,Otford Station South,2,200,Yes,200,200,50,65,70,50,65,70
Illawara,Otford Station South,Otford Straight,2,410,Yes,300,200,65,80,85,65,80,85
Illawara,Otford Straight,Otford Bend,2,410,Yes,1700,200,160,200,200,160,200,200
Illawara,Otford Bend,Otford Curve,2,610,Yes,300,200,65,80,85,65,80,85
Illawara,Otford Curve,Stanwell Park Bend,2,1230,Yes,500,200,85,105,115,85,105,115
Illawara,Stanwell Park Bend,Stanwell Park Station North,2,440,Yes,200,200,50,65,70,50,65,70
Stanwell Park,Stanwell Park Station North,Stanwell Park Station South,2,190,Yes,300,200,65,80,85,65,80,85
Illawara,Stanwell Park Station South,Stanwell Park Curve,2,450,Yes,600,200,95,115,125,95,115,125
Illawara,Stanwell Park Curve,Stanwell Park Tunnel,2,740,Yes,200,200,50,65,70,50,65,70
Illawara,Stanwell Park Tunnel,Stanwell Park Coast Bend,2,540,Yes,700,200,100,125,135,100,125,135
Illawara,Stanwell Park Coast Bend,Stanwell Park Straight,2,670,Yes,200,200,50,65,70,50,65,70
Illawara,Stanwell Park Straight,Coalcliff Station East,2,730,Yes,1200,200,135,165,180,135,165,180
Coalcliff Station,Coalcliff Station East,Coalcliff Station West,4,170,Yes,700,200,100,125,135,100,125,135
Illawara,Coalcliff Station West,Stony Creek Colliery,4,570,Yes,0,200,200,200,200,200,200,200
Illawara,Stony Creek Colliery,Stony Creek Tunnel North,2,380,Yes,300,200,65,80,85,65,80,85
